Date,Branch,Region,Product_Category,Product_Name,Size,Colour,Quantity_Sold,Unit_Price_GHS,Total_Sales_GHS,Quantity_In_Stock,Stock_Movement,Payment_Method,Customer_Type
2024-02-08,Tarkwa,Western,Children's Shoes,Canvas Shoe,36,Navy,0,122.59,0.0,49,Return,Mobile Money,Retail
2024-02-08,Tema,Greater Accra,Men's Shoes,Leather Boot,42,Red,5,347.8,1739.0,73,Sale,Cash,Retail
2024-02-08,Cape Coast,Central,Men's Shoes,Sports Sneaker,40,White,1,188.92,188.92,21,Sale,Credit,Retail
2024-02-08,Accra Central,Greater Accra,Men's Shoes,Classic Oxford,39,Grey,4,246.03,984.12,44,Sale,Cash,Retail
2024-02-08,Cape Coast,Central,Children's Shoes,Canvas Shoe,38,Tan,0,123.0,0.0,31,Adjustment,Credit,Wholesale
2024-02-08,Kumasi,Ashanti,Women's Shoes,Heeled Pump,42,Grey,7,273.13,1911.91,7,Sale,Cash,Retail
2024-02-08,Kumasi,Ashanti,Men's Shoes,Classic Oxford,41,Brown,0,329.77,0.0,68,Restock,Cash,Retail
2024-02-09,Kumasi,Ashanti,Men's Shoes,Sports Sneaker,36,Brown,7,316.61,2216.27,35,Sale,Mobile Money,Retail
2024-02-09,Kumasi,Ashanti,Sandals,Ladies Slipper,39,Black,3,60.35,181.05,14,Sale,Mobile Money,Retail
2024-02-10,Cape Coast,Central,Men's Shoes,Classic Oxford,42,Navy,4,262.69,1050.76,40,Sale,Card,Wholesale
2024-02-10,Kumasi,Ashanti,Women's Shoes,Ballet Flat,41,Brown,3,246.0,738.0,7,Sale,Mobile Money,Retail
2024-02-10,Takoradi,Western,Men's Shoes,Casual Loafer,42,White,5,327.6,1638.0,28,Sale,Credit,Retail
2024-02-10,Cape Coast,Central,Children's Shoes,Kids Sneaker,38,Red,5,197.7,988.5,26,Sale,Cash,Wholesale
2024-02-11,Tema,Greater Accra,Children's Shoes,Canvas Shoe,38,Navy,5,145.63,728.15,65,Sale,Cash,Retail
2024-02-11,Tema,Greater Accra,Children's Shoes,School Shoe,44,White,3,88.16,264.48,5,Sale,Mobile Money,Wholesale
2024-02-11,Kumasi,Ashanti,Women's Shoes,Heeled Pump,40,White,7,306.7,2146.9,35,Sale,Mobile Money,Wholesale
2024-02-11,Cape Coast,Central,Men's Shoes,Leather Boot,40,Grey,3,362.42,1087.26,49,Sale,Credit,Wholesale
2024-02-12,Tema,Greater Accra,Sandals,Men's Sandal,41,Navy,5,113.16,565.8,47,Sale,Credit,Retail
2024-02-12,Accra Central,Greater Accra,Children's Shoes,Kids Sneaker,37,Grey,0,94.13,0.0,38,Adjustment,Card,Retail
2024-02-13,Takoradi,Western,Children's Shoes,School Shoe,43,Brown,2,160.44,320.88,73,Sale,Card,Retail
2024-02-15,Tarkwa,Western,Children's Shoes,School Shoe,42,Grey,5,161.4,807.0,58,Sale,Credit,Retail
2024-02-15,Kumasi,Ashanti,Women's Shoes,Flat Sandal,38,Navy,2,177.24,354.48,32,Sale,Card,Retail
2024-02-16,Accra Central,Greater Accra,Women's Shoes,Flat Sandal,45,Black,6,308.79,1852.74,45,Sale,Card,Retail
2024-02-16,Kumasi,Ashanti,Women's Shoes,Heeled Pump,38,White,6,341.64,2049.84,59,Sale,Card,Retail
2024-02-16,Accra Central,Greater Accra,Men's Shoes,Leather Boot,42,White,0,299.21,0.0,39,Restock,Cash,Wholesale
2024-02-16,Takoradi,Western,Sports Shoes,Running Shoe,45,Navy,0,262.43,0.0,34,Restock,Mobile Money,Wholesale
2024-02-16,Cape Coast,Central,Sandals,Ladies Slipper,45,Black,2,93.79,187.58,17,Sale,Credit,Retail
2024-02-16,Cape Coast,Central,Women's Shoes,Ankle Boot,41,Grey,7,164.31,1150.17,32,Sale,Cash,Retail
2024-02-16,Takoradi,Western,Women's Shoes,Ballet Flat,39,White,6,227.36,1364.16,66,Sale,Credit,Wholesale
2024-02-17,Tarkwa,Western,Women's Shoes,Ballet Flat,42,Black,5,213.7,1068.5,14,Sale,Card,Retail
2024-02-17,Tema,Greater Accra,Sandals,Ladies Slipper,43,Tan,5,131.17,655.85,58,Sale,Cash,Retail
2024-02-18,Takoradi,Western,Men's Shoes,Classic Oxford,41,Tan,0,210.21,0.0,9,Restock,Credit,Retail
2024-02-18,Cape Coast,Central,Sports Shoes,Football Boot,39,Red,7,392.21,2745.47,83,Sale,Cash,Retail
2024-02-20,Accra Central,Greater Accra,Children's Shoes,Kids Sneaker,42,Red,4,124.76,499.04,29,Sale,Mobile Money,Retail
2024-02-20,Takoradi,Western,Sandals,Ladies Slipper,40,White,6,121.44,728.64,36,Sale,Cash,Retail
2024-02-20,Takoradi,Western,Men's Shoes,Leather Boot,41,Brown,5,187.59,937.95,8,Sale,Cash,Retail
2024-02-20,Accra Central,Greater Accra,Children's Shoes,Kids Sneaker,42,Red,0,143.56,0.0,66,Return,Cash,Wholesale
2024-02-20,Cape Coast,Central,Children's Shoes,Kids Sneaker,44,Brown,0,218.51,0.0,15,Adjustment,Credit,Retail
2024-02-22,Cape Coast,Central,Sandals,Children's Sandal,40,Red,4,67.55,270.2,79,Sale,Cash,Wholesale
2024-02-22,Tema,Greater Accra,Men's Shoes,Casual Loafer,45,White,7,366.1,2562.7,24,Sale,Credit,Wholesale
2024-02-22,Kumasi,Ashanti,Children's Shoes,Canvas Shoe,45,Brown,3,116.31,348.93,50,Sale,Cash,Wholesale
2024-02-22,Accra Central,Greater Accra,Sandals,Children's Sandal,36,Tan,6,167.79,1006.74,56,Sale,Cash,Wholesale
2024-02-22,Tarkwa,Western,Men's Shoes,Sports Sneaker,38,White,1,301.24,301.24,36,Sale,Cash,Wholesale
2024-02-23,Accra Central,Greater Accra,Children's Shoes,Kids Sneaker,38,Black,5,86.29,431.45,75,Sale,Credit,Retail
2024-02-23,Tarkwa,Western,Women's Shoes,Heeled Pump,41,Tan,2,358.02,716.04,22,Sale,Credit,Retail
2024-02-23,Kumasi,Ashanti,Sports Shoes,Football Boot,40,Black,5,431.75,2158.75,20,Sale,Mobile Money,Retail
2024-02-23,Tarkwa,Western,Sandals,Men's Sandal,36,Navy,7,70.37,492.59,40,Sale,Credit,Retail
2024-02-23,Tema,Greater Accra,Children's Shoes,Kids Sneaker,42,Red,0,92.4,0.0,84,Restock,Mobile Money,Wholesale
2024-02-24,Tema,Greater Accra,Women's Shoes,Flat Sandal,43,Tan,1,319.97,319.97,34,Sale,Mobile Money,Retail
2024-02-24,Takoradi,Western,Men's Shoes,Sports Sneaker,45,Black,3,251.23,753.69,32,Sale,Cash,Retail
2024-02-24,Cape Coast,Central,Men's Shoes,Leather Boot,37,Black,5,212.61,1063.05,39,Sale,Mobile Money,Retail
2024-02-25,Tarkwa,Western,Men's Shoes,Classic Oxford,38,White,2,191.09,382.18,48,Sale,Mobile Money,Wholesale
2024-02-25,Takoradi,Western,Men's Shoes,Classic Oxford,40,Grey,7,252.52,1767.64,77,Sale,Card,Retail
2024-02-27,Cape Coast,Central,Sports Shoes,Training Shoe,44,Navy,5,333.75,1668.75,13,Sale,Mobile Money,Retail
2024-02-27,Takoradi,Western,Children's Shoes,School Shoe,39,Brown,4,193.84,775.36,80,Sale,Credit,Retail
2024-02-27,Cape Coast,Central,Women's Shoes,Heeled Pump,43,Red,5,279.09,1395.45,58,Sale,Mobile Money,Retail
2024-02-27,Takoradi,Western,Women's Shoes,Ankle Boot,37,Navy,4,324.22,1296.88,52,Sale,Cash,Retail
2024-02-28,Kumasi,Ashanti,Children's Shoes,Kids Sneaker,41,Grey,5,109.49,547.45,22,Sale,Card,Retail
2024-02-28,Tarkwa,Western,Sports Shoes,Training Shoe,36,Grey,0,380.41,0.0,19,Restock,Credit,Retail
2024-03-01,Accra Central,Greater Accra,Women's Shoes,Ankle Boot,43,Red,5,160.28,801.4,24,Sale,Credit,Wholesale
2024-03-01,Kumasi,Ashanti,Men's Shoes,Leather Boot,39,Black,5,300.0,1500.0,21,Sale,Cash,Retail
2024-03-01,Tarkwa,Western,Sandals,Ladies Slipper,43,Tan,7,134.07,938.49,20,Sale,Credit,Wholesale
2024-03-02,Kumasi,Ashanti,Women's Shoes,Ballet Flat,36,Navy,1,174.87,174.87,78,Sale,Cash,Retail
2024-03-02,Kumasi,Ashanti,Sports Shoes,Training Shoe,42,Navy,4,498.96,1995.84,39,Sale,Mobile Money,Retail
2024-03-02,Accra Central,Greater Accra,Women's Shoes,Flat Sandal,43,Black,4,344.75,1379.0,64,Sale,Mobile Money,Retail
2024-03-03,Kumasi,Ashanti,Men's Shoes,Classic Oxford,42,Tan,3,207.51,622.53,67,Sale,Credit,Retail
2024-03-03,Kumasi,Ashanti,Men's Shoes,Sports Sneaker,38,Navy,0,274.57,0.0,64,Adjustment,Card,Wholesale
2024-03-03,Tema,Greater Accra,Children's Shoes,School Shoe,36,Red,5,175.23,876.15,76,Sale,Card,Retail
2024-03-03,Tarkwa,Western,Women's Shoes,Ballet Flat,39,Navy,0,333.82,0.0,44,Return,Mobile Money,Retail
2024-03-05,Tarkwa,Western,Women's Shoes,Ankle Boot,39,White,3,306.62,919.86,69,Sale,Card,Retail
2024-03-05,Accra Central,Greater Accra,Sports Shoes,Running Shoe,45,Brown,5,388.79,1943.95,49,Sale,Cash,Retail
2024-03-07,Accra Central,Greater Accra,Men's Shoes,Casual Loafer,45,White,7,324.56,2271.92,77,Sale,Cash,Retail
2024-03-09,Takoradi,Western,Sandals,Children's Sandal,39,Brown,1,78.31,78.31,49,Sale,Credit,Retail
2024-03-09,Tema,Greater Accra,Women's Shoes,Ankle Boot,40,Red,7,184.82,1293.74,54,Sale,Card,Retail
2024-03-09,Cape Coast,Central,Women's Shoes,Flat Sandal,42,White,3,334.42,1003.26,32,Sale,Card,Wholesale
2024-03-09,Accra Central,Greater Accra,Women's Shoes,Ankle Boot,40,Red,0,264.29,0.0,34,Restock,Mobile Money,Retail
2024-03-09,Kumasi,Ashanti,Sports Shoes,Training Shoe,39,White,0,218.98,0.0,42,Return,Card,Wholesale
2024-03-10,Accra Central,Greater Accra,Children's Shoes,Canvas Shoe,36,Red,4,196.61,786.44,11,Sale,Credit,Wholesale
2024-03-12,Takoradi,Western,Sandals,Ladies Slipper,42,Brown,0,94.44,0.0,31,Adjustment,Cash,Retail
2024-03-12,Tarkwa,Western,Children's Shoes,School Shoe,38,Brown,0,168.89,0.0,74,Restock,Mobile Money,Wholesale
2024-03-13,Tema,Greater Accra,Men's Shoes,Sports Sneaker,37,Navy,3,439.26,1317.78,12,Sale,Cash,Retail
2024-03-13,Takoradi,Western,Sandals,Children's Sandal,38,Red,6,116.36,698.16,10,Sale,Credit,Retail
2024-03-14,Accra Central,Greater Accra,Sandals,Ladies Slipper,44,Red,6,64.27,385.62,66,Sale,Card,Wholesale
2024-03-15,Cape Coast,Central,Sandals,Ladies Slipper,39,Brown,7,96.84,677.88,75,Sale,Card,Wholesale
2024-03-15,Takoradi,Western,Sandals,Men's Sandal,43,Red,3,104.39,313.17,49,Sale,Mobile Money,Retail
2024-03-15,Takoradi,Western,Men's Shoes,Sports Sneaker,38,Brown,0,252.59,0.0,42,Restock,Credit,Retail
2024-03-15,Takoradi,Western,Sandals,Children's Sandal,43,Grey,3,138.48,415.44,19,Sale,Card,Retail
2024-03-15,Kumasi,Ashanti,Sports Shoes,Running Shoe,45,Brown,7,222.35,1556.45,78,Sale,Credit,Retail
2024-03-16,Accra Central,Greater Accra,Children's Shoes,School Shoe,36,Brown,2,105.31,210.62,84,Sale,Card,Retail
2024-03-16,Cape Coast,Central,Children's Shoes,Canvas Shoe,45,Grey,0,168.17,0.0,34,Restock,Mobile Money,Retail
2024-03-18,Cape Coast,Central,Men's Shoes,Classic Oxford,43,Navy,0,281.58,0.0,23,Return,Card,Wholesale
2024-03-18,Accra Central,Greater Accra,Children's Shoes,Kids Sneaker,42,Brown,4,114.11,456.44,6,Sale,Card,Wholesale
2024-03-18,Accra Central,Greater Accra,Sandals,Ladies Slipper,43,Tan,1,67.31,67.31,19,Sale,Credit,Retail
2024-03-18,Tarkwa,Western,Men's Shoes,Sports Sneaker,36,Tan,4,217.94,871.76,31,Sale,Card,Wholesale
2024-03-18,Accra Central,Greater Accra,Sports Shoes,Training Shoe,42,Red,1,315.25,315.25,51,Sale,Cash,Wholesale
2024-03-20,Tema,Greater Accra,Sports Shoes,Football Boot,41,White,0,261.05,0.0,8,Return,Credit,Wholesale
2024-03-21,Cape Coast,Central,Women's Shoes,Ballet Flat,37,Brown,6,280.9,1685.4,30,Sale,Mobile Money,Retail
2024-03-21,Takoradi,Western,Men's Shoes,Classic Oxford,45,Black,5,243.96,1219.8,72,Sale,Card,Wholesale
2024-03-21,Kumasi,Ashanti,Women's Shoes,Ballet Flat,43,Tan,0,232.01,0.0,25,Adjustment,Credit,Retail
2024-03-21,Tarkwa,Western,Sandals,Ladies Slipper,38,White,7,162.91,1140.37,45,Sale,Credit,Wholesale
2024-03-22,Tarkwa,Western,Sports Shoes,Football Boot,37,Navy,0,413.06,0.0,23,Restock,Credit,Retail
2024-03-23,Kumasi,Ashanti,Men's Shoes,Classic Oxford,38,Tan,5,302.14,1510.7,57,Sale,Credit,Wholesale
2024-03-24,Cape Coast,Central,Men's Shoes,Casual Loafer,36,Tan,0,445.94,0.0,69,Restock,Card,Wholesale
2024-03-25,Tarkwa,Western,Children's Shoes,Kids Sneaker,40,Black,5,144.21,721.05,55,Sale,Credit,Retail
2024-03-25,Takoradi,Western,Sports Shoes,Running Shoe,38,Black,1,327.44,327.44,6,Sale,Mobile Money,Retail
2024-03-26,Tema,Greater Accra,Sports Shoes,Training Shoe,39,Grey,0,422.87,0.0,51,Restock,Cash,Wholesale
2024-03-26,Takoradi,Western,Sandals,Ladies Slipper,43,White,2,127.13,254.26,15,Sale,Credit,Wholesale
2024-03-26,Tema,Greater Accra,Men's Shoes,Casual Loafer,39,Navy,1,240.37,240.37,78,Sale,Credit,Retail
2024-03-26,Tarkwa,Western,Children's Shoes,School Shoe,42,Black,7,138.49,969.43,25,Sale,Mobile Money,Retail
2024-03-27,Cape Coast,Central,Sandals,Children's Sandal,44,Black,2,85.77,171.54,64,Sale,Card,Wholesale
2024-03-28,Takoradi,Western,Children's Shoes,Canvas Shoe,45,Red,5,132.3,661.5,82,Sale,Mobile Money,Wholesale
2024-03-28,Cape Coast,Central,Sandals,Men's Sandal,40,Red,0,110.37,0.0,10,Restock,Cash,Wholesale
2024-03-29,Tarkwa,Western,Children's Shoes,School Shoe,42,Black,5,120.97,604.85,16,Sale,Credit,Retail
2024-03-29,Tema,Greater Accra,Sports Shoes,Running Shoe,42,White,4,330.08,1320.32,76,Sale,Mobile Money,Wholesale
2024-03-29,Accra Central,Greater Accra,Sports Shoes,Running Shoe,43,Red,0,312.09,0.0,41,Return,Card,Retail
2024-03-30,Kumasi,Ashanti,Children's Shoes,Kids Sneaker,40,Tan,0,128.73,0.0,43,Adjustment,Cash,Wholesale
2024-03-30,Tarkwa,Western,Sandals,Men's Sandal,43,Black,2,109.78,219.56,51,Sale,Mobile Money,Retail
2024-03-30,Takoradi,Western,Men's Shoes,Sports Sneaker,39,Grey,0,298.86,0.0,54,Return,Card,Retail
2024-03-31,Cape Coast,Central,Children's Shoes,Kids Sneaker,41,Grey,6,205.64,1233.84,22,Sale,Card,Retail
2024-04-01,Tema,Greater Accra,Women's Shoes,Ballet Flat,37,Tan,5,360.27,1801.35,30,Sale,Cash,Retail
2024-04-01,Cape Coast,Central,Men's Shoes,Leather Boot,45,Red,7,192.14,1344.98,43,Sale,Credit,Wholesale
2024-04-02,Takoradi,Western,Women's Shoes,Ballet Flat,42,Grey,1,293.05,293.05,10,Sale,Credit,Wholesale
